-21,10.53127805,11.31559458,11.73305339,12.04931005
-20,10.30228351,11.07509152,11.48642482,11.79180863
-19,10.07028344,10.83337372,11.23953467,11.54107841
-18,9.840683264,10.58962136,10.99149058,11.29593696
-17,9.600492823,10.34296042,10.74739399,11.04921008
-16,9.355011082,10.09843672,10.50612174,10.80589014
-15,9.103267196,9.848948391,10.26056441,10.55883689
-14,8.844144355,9.599296405,10.01552194,10.3128259
-13,8.582278857,9.342201757,9.76372149,10.07244017
-12,8.304259799,9.082091798,9.515540164,9.824297904
-11,8.020133041,8.811238183,9.257350105,9.578550689
-10,7.721731873,8.533427811,8.992990952,9.327218691
-9,7.406262072,8.246009901,8.725865804,9.067763134
-8,7.076173999,7.945602232,8.452768701,8.808992769
-7,6.714687044,7.633791333,8.169428269,8.540722055
-6,6.333524665,7.298338,7.869851632,8.269296643
-5,5.91099973,6.948591527,7.563690856,7.986183324
-4,5.437524431,6.57003913,7.236964453,7.696262081
